iter	Passed	Remaining
0	126	125981
1	128	64093
2	130	43361
3	132	33022
4	135	26948
5	138	22905
6	139	19852
7	142	17655
8	144	15897
9	147	14575
10	149	13474
11	152	12523
12	154	11764
13	155	10980
14	157	10339
15	159	9793
16	159	9248
17	161	8801
18	163	8435
19	164	8062
20	165	7731
21	166	7412
22	167	7117
23	168	6851
24	170	6638
25	171	6410
26	171	6193
27	172	5998
28	174	5833
29	175	5670
30	177	5554
31	178	5412
32	180	5279
33	182	5174
34	183	5072
35	185	4963
36	186	4845
37	187	4748
38	189	4666
39	190	4567
40	191	4482
41	193	4411
42	195	4344
43	196	4267
44	197	4187
45	198	4114
46	199	4052
47	200	3984
48	201	3919
49	202	3850
50	203	3791
51	204	3734
52	206	3688
53	207	3630
54	208	3584
55	210	3540
56	210	3490
57	212	3451
58	213	3399
59	213	3349
60	214	3308
61	216	3268
62	217	3239
63	219	3208
64	220	3173
65	221	3140
66	223	3110
67	224	3081
68	225	3044
69	226	3009
70	227	2978
71	228	2943
72	229	2912
73	230	2886
74	231	2860
75	233	2833
76	234	2805
77	235	2779
78	236	2754
79	237	2728
80	238	2702
81	239	2676
82	239	2646
83	240	2621
84	241	2596
85	242	2574
86	243	2553
87	244	2531
88	245	2508
89	245	2485
90	246	2464
91	247	2444
92	248	2427
93	249	2407
94	250	2386
95	251	2365
96	251	2345
97	252	2325
98	253	2305
99	254	2286
100	254	2267
101	255	2250
102	256	2231
103	256	2213
104	257	2195
105	258	2178
106	258	2160
107	259	2142
108	260	2125
109	260	2109
110	261	2094
111	262	2078
112	262	2062
113	263	2046
114	263	2031
115	264	2015
116	264	1999
117	265	1985
118	266	1970
119	266	1956
120	267	1944
121	268	1929
122	268	1916
123	269	1903
124	269	1889
125	270	1876
126	271	1862
127	271	1850
128	272	1838
129	272	1825
130	273	1814
131	274	1804
132	274	1792
133	275	1781
134	276	1769
135	277	1760
136	277	1749
137	278	1738
138	278	1727
139	279	1717
140	280	1707
141	280	1696
142	281	1686
143	281	1676
